"Date Wise Prices for Specified Commodity on September, 2025 for Commodity : Tomato, State : Karnataka"
"Commodity : Tomato, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
10/09/2025,10.0,Tomato,2000.0,2500.0,2300.0
11/09/2025,5.0,Tomato,1700.0,2000.0,1900.0
12/09/2025,2.0,Tomato,1500.0,31150.0,2000.0
13/09/2025,5.0,Tomato,1000.0,2000.0,1200.0
15/09/2025,7.0,Tomato,1000.0,1500.0,1300.0
16/09/2025,2.0,Tomato,1000.0,2000.0,1500.0
17/09/2025,2.0,Tomato,1000.0,1500.0,1330.0
18/09/2025,0.2,Tomato,300.0,2000.0,1130.0
19/09/2025,0.23,Tomato,1700.0,2500.0,2000.0
20/09/2025,0.2,Tomato,800.0,1500.0,1000.0
22/09/2025,0.21,Tomato,2900.0,3500.0,3000.0
23/09/2025,0.03,Tomato,1500.0,2500.0,2000.0
24/09/2025,0.02,Tomato,1000.0,2500.0,2000.0
25/09/2025,0.29,Tomato,1800.0,2500.0,2000.0
26/09/2025,0.16,Tomato,900.0,1500.0,1000.0
27/09/2025,0.44,Tomato,1500.0,2000.0,1600.0
29/09/2025,0.62,Tomato,1350.0,1800.0,1600.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
01/09/2025,51.0,Tomato,2000.0,2800.0,2600.0
02/09/2025,77.0,Tomato,2200.0,2500.0,2400.0
03/09/2025,59.0,Tomato,2200.0,2500.0,2400.0
04/09/2025,55.0,Tomato,2200.0,2500.0,2400.0
06/09/2025,165.0,Tomato,2200.0,2500.0,2400.0
08/09/2025,152.0,Tomato,1000.0,1200.0,1100.0
09/09/2025,114.0,Tomato,1000.0,1200.0,1100.0
10/09/2025,99.0,Tomato,1000.0,1200.0,1100.0
11/09/2025,83.0,Tomato,1000.0,1200.0,1100.0
12/09/2025,151.0,Tomato,1000.0,1200.0,1100.0
15/09/2025,212.0,Tomato,1000.0,1200.0,1100.0
16/09/2025,113.0,Tomato,1000.0,1200.0,1100.0
17/09/2025,94.0,Tomato,1000.0,1200.0,1100.0
18/09/2025,5.87,Tomato,1000.0,1200.0,1100.0
19/09/2025,7.19,Tomato,1200.0,1600.0,1400.0
20/09/2025,7.04,Tomato,1200.0,1600.0,1400.0
22/09/2025,9.32,Tomato,1500.0,1800.0,1600.0
23/09/2025,10.95,Tomato,1500.0,1700.0,1600.0
24/09/2025,8.61,Tomato,1400.0,1700.0,1600.0
25/09/2025,6.71,Tomato,1000.0,1200.0,1100.0
26/09/2025,6.74,Tomato,1000.0,1200.0,1100.0
29/09/2025,15.52,Tomato,2200.0,2800.0,2600.0
30/09/2025,5.6,Tomato,2200.0,2800.0,2600.0
Market Name : Chamaraj Nagar APMC
01/09/2025,6.0,Tomato,500.0,1200.0,900.0
04/09/2025,4.0,Tomato,1000.0,1500.0,1300.0
06/09/2025,5.0,Tomato,1000.0,1500.0,1300.0
08/09/2025,5.0,Tomato,1000.0,1500.0,1300.0
09/09/2025,5.0,Tomato,1000.0,1500.0,1300.0
10/09/2025,5.0,Tomato,1500.0,2000.0,1750.0
11/09/2025,4.0,Tomato,1400.0,2000.0,1700.0
12/09/2025,5.0,Tomato,1000.0,1500.0,1300.0
13/09/2025,5.0,Tomato,1000.0,1500.0,1300.0
15/09/2025,4.0,Tomato,800.0,1000.0,900.0
16/09/2025,5.0,Tomato,1000.0,1200.0,1100.0
17/09/2025,6.0,Tomato,600.0,1000.0,800.0
