
Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
28/12/2023,10.0,Medium,3320.0,3320.0,3320.0
Market Name : Bangalore APMC
01/12/2023,5487.999999,Medium,5000.0,5400.0,5200.0
,,Dappa,3400.0,4600.0,4000.0
,,Fine,5200.0,6000.0,5600.0
02/12/2023,2514.0,Fine,5200.0,6000.0,5600.0
,,Medium,5000.0,5400.0,5200.0
,,Dappa,3400.0,4600.0,4000.0
04/12/2023,3612.0,Dappa,3400.0,4600.0,4000.0
,,Fine,5200.0,6000.0,5600.0
,,Medium,5000.0,5400.0,5200.0
05/12/2023,3234.0,Medium,5000.0,5400.0,5200.0
,,Dappa,3400.0,4600.0,4000.0
,,Fine,5200.0,6000.0,5600.0
06/12/2023,2145.0,Medium,5000.0,5400.0,5200.0
,,Fine,5200.0,6000.0,5600.0
,,Dappa,3400.0,4600.0,4000.0
07/12/2023,1665.9999990000001,Dappa,3400.0,4600.0,4000.0
,,Medium,5000.0,5400.0,5200.0
,,Fine,5200.0,6000.0,5600.0
08/12/2023,2904.999999,Medium,5000.0,5400.0,5200.0
,,Dappa,3400.0,4600.0,4000.0
,,Fine,5200.0,6000.0,5600.0
11/12/2023,6230.000001,Medium,5000.0,5400.0,5200.0
,,Fine,5200.0,6000.0,5600.0
,,Dappa,3400.0,4600.0,4000.0
12/12/2023,3699.999999,Medium,5000.0,5400.0,5200.0
,,Fine,5200.0,6000.0,5600.0
,,Dappa,3400.0,4600.0,4000.0
13/12/2023,2505.0,Dappa,3400.0,4600.0,4000.0
,,Fine,5200.0,6000.0,5600.0
,,Medium,5000.0,5400.0,5200.0
14/12/2023,2742.999999,Fine,5200.0,6000.0,5600.0
,,Medium,5000.0,5400.0,5200.0
,,Dappa,3400.0,4600.0,4000.0
15/12/2023,2567.000001,Medium,5000.0,5400.0,5200.0
,,Dappa,3400.0,4600.0,4000.0
,,Fine,5200.0,6000.0,5600.0
20/12/2023,2118.999999,Fine,6000.0,6500.0,6250.0
,,Dappa,4500.0,4800.0,4650.0
,,Medium,5600.0,5900.0,5750.0
21/12/2023,3210.0,Medium,5600.0,5900.0,5750.0
,,Dappa,4500.0,4800.0,4650.0
,,Fine,6000.0,6500.0,6250.0
22/12/2023,1932.0,Dappa,4500.0,4800.0,4650.0
,,Fine,6000.0,6500.0,6250.0
,,Medium,4500.0,4800.0,4650.0
26/12/2023,8598.0,Fine,6000.0,6500.0,6250.0
,,Dappa,4500.0,4800.0,4650.0
,,Medium,5600.0,5900.0,5750.0
27/12/2023,1377.0,Medium,5600.0,5900.0,5750.0
,,Dappa,4500.0,4800.0,4650.0
,,Fine,6000.0,6500.0,6250.0
28/12/2023,1440.999999,Fine,6000.0,6500.0,6250.0
,,Medium,5600.0,5900.0,5750.0
,,Dappa,4500.0,4800.0,4650.0
29/12/2023,1350.0,Medium,5600.0,5900.0,5750.0
,,Dappa,4500.0,4800.0,4650.0
,,Fine,6000.0,6500.0,6250.0
30/12/2023,1407.999999,Fine,6000.0,6500.0,6250.0
,,Medium,5600.0,5900.0,5750.0
,,Dappa,4500.0,4800.0,4650.0
Market Name : Bangarpet APMC
05/12/2023,35.0,Sarbati Raw,4000.0,4600.0,4300.0
12/12/2023,158.0,Medium,3000.0,3500.0,3300.0
13/12/2023,158.0,Medium,3000.0,3500.0,3300.0
28/12/2023,16.0,Broken Rice,2500.0,2800.0,2600.0
,,Sarbati Raw,5500.0,6500.0,6000.0
Market Name : Bantwala APMC
28/12/2023,25.0,Fine(Basmati),7000.0,11000.0,9000.0
Market Name : Bidar APMC
01/12/2023,22.0,CR 1009 (Coarse) Boiled,4800.0,6200.0,5000.0
,,Broken Rice,2600.0,3000.0,2800.0
04/12/2023,20.0,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
,,Broken Rice,2600.0,3000.0,2800.0
05/12/2023,18.0,Broken Rice,2600.0,3000.0,2800.0
,,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
06/12/2023,21.0,CR 1009 (Coarse) Boiled,5000.0,6200.0,5400.0
,,Broken Rice,2700.0,3100.0,2900.0
08/12/2023,21.0,Broken Rice,2700.0,3100.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
11/12/2023,20.0,Broken Rice,2700.0,3100.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
13/12/2023,20.0,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
,,Broken Rice,2700.0,3100.0,2900.0
14/12/2023,18.0,Broken Rice,2700.0,3100.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6300.0,5300.0
15/12/2023,24.0,Broken Rice,2700.0,3100.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6300.0,5300.0
16/12/2023,17.0,CR 1009 (Coarse) Boiled,5000.0,6400.0,5400.0
,,Broken Rice,2700.0,3200.0,2900.0
18/12/2023,19.0,Broken Rice,2700.0,3200.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6400.0,5400.0
19/12/2023,19.0,Broken Rice,2700.0,3200.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
20/12/2023,19.0,CR 1009 (Coarse) Boiled,5000.0,6300.0,5200.0
,,Broken Rice,2700.0,3200.0,2900.0
21/12/2023,19.0,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
,,Broken Rice,2700.0,3100.0,2900.0
22/12/2023,18.0,CR 1009 (Coarse) Boiled,2700.0,3100.0,2900.0
,,Broken Rice,2700.0,3100.0,2900.0
26/12/2023,24.0,Broken Rice,2700.0,3100.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
28/12/2023,11.0,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
,,Broken Rice,2700.0,3100.0,2900.0
29/12/2023,20.0,Broken Rice,2700.0,3100.0,2900.0
,,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
30/12/2023,16.0,CR 1009 (Coarse) Boiled,5000.0,6200.0,5200.0
,,Broken Rice,2700.0,3100.0,2900.0
Market Name : Chintamani APMC
01/12/2023,221.0,Sona,3450.0,6000.0,4633.0
,,Broken Rice,2600.0,3400.0,3277.0
04/12/2023,59.0,Sona,3600.0,5600.0,4717.0
05/12/2023,79.0,Sona,3800.0,6200.0,4870.0
06/12/2023,64.0,Sona,3847.0,5850.0,4676.0
07/12/2023,304.0,Broken Rice,2780.0,3100.0,2800.0
,,Sona,4250.0,6300.0,5247.0
08/12/2023,24.0,Sona,5000.0,6000.0,5500.0
12/12/2023,58.0,Broken Rice,2100.0,3500.0,2832.0
,,Sona,4700.0,6100.0,5057.0
13/12/2023,29.0,Broken Rice,2300.0,3500.0,2902.0
,,Sona,3600.0,5180.0,4634.0
14/12/2023,321.0,Sona,3600.0,5600.0,4828.0
,,Broken Rice,2000.0,3500.0,2058.0
16/12/2023,11.0,Sona,3800.0,5180.0,4004.0
18/12/2023,139.0,Sona,3880.0,6000.0,4482.0
20/12/2023,182.0,Sona,3460.0,6100.0,4267.0
,,Broken Rice,2780.0,4060.0,3083.0
21/12/2023,141.0,Sona,4180.0,6700.0,5087.0
