Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Abohar APMC
01/05/2024,5863.0,Other,2275.0,2275.0,2275.0
02/05/2024,13213.0,Other,2275.0,2280.0,2275.0
03/05/2024,5318.0,Other,2275.0,2280.0,2275.0
04/05/2024,8185.0,Other,2275.0,2280.0,2275.0
05/05/2024,4457.0,Other,2275.0,2280.0,2275.0
06/05/2024,7027.0,Other,2275.0,2280.0,2275.0
07/05/2024,4378.0,Other,2275.0,2280.0,2275.0
08/05/2024,3651.0,Other,2275.0,2280.0,2275.0
09/05/2024,3036.0,Other,2275.0,2280.0,2275.0
10/05/2024,4450.0,Other,2275.0,2280.0,2275.0
11/05/2024,1784.0,Other,2275.0,2275.0,2275.0
12/05/2024,831.0,Other,2275.0,2280.0,2275.0
13/05/2024,4055.0,Other,2275.0,2280.0,2275.0
14/05/2024,2632.0,Other,2275.0,2280.0,2275.0
15/05/2024,1618.0,Other,2275.0,2280.0,2275.0
16/05/2024,1223.0,Other,2275.0,2280.0,2275.0
17/05/2024,910.0,Other,2275.0,2280.0,2275.0
18/05/2024,1088.0,Other,2275.0,2280.0,2275.0
19/05/2024,550.0,Other,2275.0,2280.0,2275.0
21/05/2024,1074.0,Other,2275.0,2280.0,2275.0
22/05/2024,497.0,Other,2275.0,2280.0,2275.0
23/05/2024,129.0,Other,2275.0,2280.0,2275.0
24/05/2024,35.0,Other,2275.0,2275.0,2275.0
25/05/2024,63.0,Other,2275.0,2275.0,2275.0
28/05/2024,32.0,Other,2275.0,2300.0,2275.0
29/05/2024,20.0,Other,2325.0,2325.0,2325.0
30/05/2024,52.0,Other,2325.0,2325.0,2325.0
31/05/2024,74.0,Other,2275.0,2325.0,2325.0
Market Name : Ahmedgarh APMC
01/05/2024,3041.0,147 Average,2275.0,2280.0,2275.0
02/05/2024,3107.0,147 Average,2275.0,2280.0,2275.0
03/05/2024,1525.0,147 Average,2275.0,2280.0,2275.0
04/05/2024,644.0,147 Average,2275.0,2280.0,2275.0
05/05/2024,745.0,147 Average,2275.0,2280.0,2275.0
06/05/2024,477.0,147 Average,2275.0,2280.0,2275.0
07/05/2024,307.0,147 Average,2275.0,2280.0,2275.0
08/05/2024,358.0,147 Average,2275.0,2280.0,2275.0
09/05/2024,227.0,147 Average,2275.0,2280.0,2275.0
10/05/2024,171.0,147 Average,2275.0,2280.0,2275.0
11/05/2024,131.0,147 Average,2275.0,2280.0,2275.0
12/05/2024,82.0,147 Average,2275.0,2280.0,2275.0
13/05/2024,66.0,147 Average,2275.0,2280.0,2275.0
14/05/2024,55.0,147 Average,2275.0,2280.0,2275.0
15/05/2024,48.0,147 Average,2275.0,2280.0,2275.0
16/05/2024,75.0,147 Average,2275.0,2280.0,2275.0
17/05/2024,21.0,147 Average,2275.0,2280.0,2275.0
18/05/2024,56.0,147 Average,2275.0,2280.0,2275.0
21/05/2024,106.0,147 Average,2280.0,2280.0,2280.0
22/05/2024,21.0,147 Average,2275.0,2280.0,2280.0
Market Name : Amargarh APMC
01/05/2024,1020.0,Other,2275.0,2275.0,2275.0
02/05/2024,1830.0,Other,2275.0,2275.0,2275.0
03/05/2024,2295.0,Other,2275.0,2275.0,2275.0
04/05/2024,889.0,Other,2275.0,2275.0,2275.0
05/05/2024,820.0,Other,2275.0,2275.0,2275.0
06/05/2024,610.0,Other,2275.0,2275.0,2275.0
07/05/2024,332.0,Other,2275.0,2275.0,2275.0
08/05/2024,129.0,Other,2275.0,2275.0,2275.0
09/05/2024,510.0,Other,2275.0,2275.0,2275.0
10/05/2024,208.0,Other,2275.0,2275.0,2275.0
11/05/2024,250.0,Other,2275.0,2275.0,2275.0
12/05/2024,15.0,Other,2275.0,2275.0,2275.0
13/05/2024,229.0,Other,2275.0,2275.0,2275.0
14/05/2024,330.0,Other,2275.0,2275.0,2275.0
15/05/2024,210.0,Other,2275.0,2275.0,2275.0
16/05/2024,80.0,Other,2275.0,2275.0,2275.0
18/05/2024,10.0,Other,2275.0,2275.0,2275.0
19/05/2024,50.0,Other,2275.0,2275.0,2275.0
20/05/2024,72.0,Other,2275.0,2275.0,2275.0
21/05/2024,56.0,Other,2275.0,2275.0,2275.0
22/05/2024,39.0,Other,2275.0,2275.0,2275.0
23/05/2024,224.0,Other,2275.0,2275.0,2275.0
25/05/2024,27.0,Other,2275.0,2275.0,2275.0
27/05/2024,85.0,Other,2275.0,2275.0,2275.0
28/05/2024,150.0,Other,2275.0,2275.0,2275.0
30/05/2024,114.0,Other,2275.0,2275.0,2275.0
Market Name : Amloh APMC
01/05/2024,1262.0,147 Best,2275.0,2275.0,2275.0
02/05/2024,826.0,147 Best,2275.0,2275.0,2275.0
03/05/2024,763.0,147 Best,2275.0,2275.0,2275.0
04/05/2024,736.0,147 Best,2275.0,2275.0,2275.0
05/05/2024,322.0,147 Best,2275.0,2275.0,2275.0
06/05/2024,280.0,147 Best,2275.0,2275.0,2275.0
07/05/2024,522.0,147 Best,2275.0,2275.0,2275.0
08/05/2024,243.0,147 Best,2275.0,2275.0,2275.0
09/05/2024,66.0,147 Best,2275.0,2275.0,2275.0
10/05/2024,197.0,147 Best,2275.0,2275.0,2275.0
11/05/2024,36.0,147 Best,2275.0,2275.0,2275.0
Market Name : Amloh(Gobind Garh Mandi) APMC
01/05/2024,680.0,147 Best,2275.0,2275.0,2275.0
02/05/2024,435.0,147 Best,2275.0,2275.0,2275.0
03/05/2024,248.0,147 Best,2275.0,2275.0,2275.0
04/05/2024,398.0,147 Best,2275.0,2275.0,2275.0
05/05/2024,173.0,147 Best,2275.0,2275.0,2275.0
06/05/2024,50.0,147 Best,2275.0,2275.0,2275.0
07/05/2024,182.0,147 Best,2275.0,2275.0,2275.0
09/05/2024,14.0,147 Best,2275.0,2275.0,2275.0
10/05/2024,68.0,147 Best,2275.0,2275.0,2275.0
11/05/2024,33.0,147 Best,2275.0,2275.0,2275.0
14/05/2024,23.0,147 Best,2275.0,2275.0,2275.0
Market Name : Amritsar APMC
02/05/2024,1832.0,Other,2275.0,2285.0,2275.0
Market Name : Attari APMC
01/05/2024,3819.0,Other,2275.0,2275.0,2275.0
02/05/2024,4375.0,Other,2275.0,2275.0,2275.0
03/05/2024,5125.0,Other,2275.0,2275.0,2275.0
04/05/2024,1396.0,Other,2275.0,2275.0,2275.0
05/05/2024,515.0,Other,2275.0,2275.0,2275.0
06/05/2024,1748.0,Other,2275.0,2275.0,2275.0
07/05/2024,2500.0,Other,2275.0,2275.0,2275.0
08/05/2024,1860.0,Other,2275.0,2285.0,2275.0
09/05/2024,1095.0,Other,2275.0,2275.0,2275.0
10/05/2024,2622.0,Other,2275.0,2285.0,2275.0
11/05/2024,260.0,Other,2275.0,2275.0,2275.0
13/05/2024,223.0,Other,2275.0,2275.0,2275.0
15/05/2024,3099.0,Other,2275.0,2285.0,2275.0
16/05/2024,110.0,Other,2275.0,2285.0,2275.0
17/05/2024,2457.0,Other,2275.0,2275.0,2275.0
18/05/2024,129.0,Other,2275.0,2285.0,2275.0
22/05/2024,2298.0,Other,2275.0,2285.0,2275.0
24/05/2024,33.0,Other,2275.0,2275.0,2275.0
25/05/2024,59.0,Other,2275.0,2275.0,2275.0
27/05/2024,515.0,Other,2275.0,2275.0,2275.0
28/05/2024,38.0,Other,2275.0,2275.0,2275.0
29/05/2024,61.0,Other,2275.0,2275.0,2275.0
Market Name : Badhni Kallan (Bilaspur) APMC
01/05/2024,350.0,Other,2275.0,2275.0,2275.0
02/05/2024,80.0,Other,2275.0,2275.0,2275.0
